,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
136,БПФР-014816,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,Лекции по 1С:УНФ для студентов ВУЗа.,4.0,1,"Задание требует уточнения. Необходимо указать, какая именно работа должна быть выполнена (консультация, настройка программы, обучение и т.д.) и для каких целей. Например: 

**Контрагент: ДИО-КОНСАЛТ ООО  
Подразделение: Отдел автоматизации ПУ и ОУ  
Описание: Лекции по 1С:УНФ для студентов ВУЗа.  
Количество часов: 4.0  
Цель: Преподавание курса по 1С:УНФ для студентов с целью обучения работе с программой.**"
137,БПФР-014820,ТСМ АО,Отдел автоматизации ПУ и ОУ,"Обновление нетиповой конфигурации ""Зарплата и Управление Персоналом, ред. 3.1"" до последнего актуального релиза 3.1.32.17 Проверка результатов обновления конфигурации. Перенос обновления на рабочую базу. ",2.5,8,"Задание сформулировано недостаточно ясно. Необходимо уточнить следующие моменты:

1. **Какие конкретные шаги будут выполнены в рамках задачи?** Например, проверка целостности данных, тестирование функционала после обновления и т.д.
2. **Что значит ""перенос обновления на рабочую базу""?** Это означает обновление рабочей базы данных или речь идет о каком-то другом процессе?
3. **Как именно будет проверяться правильность работы после обновления?** Какие проверки необходимо провести?
4. **Есть ли какие-то специфические требования к обновлению?** Возможно, нужно учитывать особенности ТСМ АО.

Эти уточнения помогут лучше понять задачу и оценить трудозатраты."
138,БПФР-014821,СТРОЙ-ИНВЕСТ ООО СК,Отдел автоматизации ПУ и ОУ,"Инициатор: Гулевская Надежда Ивановна (8-982-929-32-65)
Почему после обновления нельзя в авансе добавить вид начисления ""КТУ""",0.25,7,"Задачи не достаточно детализирована. Нужно указать, что именно происходит с видом начисления ""КТУ"" после обновления, какие ошибки возникают или почему этот вид начисления невозможно добавить. Также желательно уточнить, о каком обновлении идет речь (например, программного обеспечения)."
139,БПФР-014822,СОГЛАСИЕ ООО,Отдел разработки,"Клиент обратился с просьбой настроить обмен с фильтром ""без текущего"" опер дня для оперативного обмена в течение дня. Полный обмен всех документов должен происходит ночью.
Требуется:
- Разработать расширение, которое будет делать ""фильтр"" на документы к выгрузке для обмена ERP->БП без текущего дня;
- Полный обмен должен проходить ежедневно ночью;
- Частичный обмен (без текущего операционного дня) должен проходить несколько раз в течение раб. дня.
Требуется максимально оптимизировать время обмена для процедур обмена, проходящих несколько раз в день.",8.0,9,"Задание содержит достаточно информации для выполнения. Рекомендации излишни, так как все ключевые аспекты указаны."
140,БПФР-014823,СОГЛАСИЕ ООО,Отдел разработки,"Клиент обратился с просьбой настроить обмен по справочнику номенклатура таким образом, чтобы реквизит номенклатуры ГФУ в ERP передавалася в реквизит Вид номенклатуры в БП.
Требуется разработать расширение, которое по позициям номенклатуры, участвующим в обмене, будет транслировать ГФУ номенклатуры (Справочник.ГруппыФинансовогоУчетаНоменклатуры) в ERP в вид номенклатуры (Справочник.ВидыНоменклатуры) в БП.

Имеются виды номенклатуры с наименованием (и настройками счет отражения) 1в1 со всеми ГФУ в ERP.",8.0,9,"Замечания:
- **Избыточное описание**: Описание задачи дублирует информацию из первого предложения. Важно кратко выделить суть запроса.
- **Четкость формулировки**: Недостаточно четко указана цель расширения. Необходимо уточнить, какие именно действия должны выполняться автоматически.
- **Количество часов**: Время на выполнение задания (8 часов) кажется завышенным без более детального плана работ."
141,БПФР-014824,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Работы в феврале по обращениям в телеграмм/видеоконференции в яндекс телемост,2.75,8,"Задание недостаточно конкретное. Необходимо уточнить, какие именно работы должны быть выполнены, с какими системами работать и т.д. Например: 

**Задание:**

Согласие ООО – название партнера.
Отдел автоматизации БУ и УУ – подразделение, которое будет выполнять задание.
Работы в феврале по обращениям в телеграмм/видеоконференции в Яндекс Телемост:
- Проанализировать обращения за февраль по согласованию и внести необходимые корректировки в систему.
- Настроить автоматическое уведомление ответственных лиц о новых обращениях.
- Подготовить отчет по итогам февраля по количеству обработанных обращений.

Количество часов: **2.75**."
142,БПФР-014825,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000142
Инициатор: Титаренко Виктория Сергеевна
Разовые начисления - Премия за сверх. операции",2.25,8,"Замечания по заданию:
- **Описание задачи** недостаточно детализировано. Необходимо уточнить, какие именно разовые начисления нужно провести и как они рассчитываются.
- **Количество часов** кажется недостаточным для выполнения задачи. Стоит оценить объем работы более точно."
143,БПФР-014826,Девятков Александр Владимирович ИП,Отдел автоматизации ПУ и ОУ,"Инициатор: Лаптева Маргарита Сергеевна
Задача: не попадание в книгу доходов по патенту операций по безналичным расчетам ",2.25,1,"Замечания:
1. **Описание задачи**: Необходимо уточнить, какие именно операции по безналичным расчетам нужно исключить из книги доходов. Например, указать конкретные виды платежей или категории услуг.
2. **Часы**: Указано количество часов, но нет пояснений, что планируется делать в эти часы. Нужно детализировать действия, которые будут выполнены для решения задачи."
144,БПФР-014828,ТСМ АО,Отдел автоматизации ЗУП,"Инициатор: Собольникова Анна Сергеевна 
(7-3456-25-30-90 доб. 121)
Задание:
В 6-НДФЛ не встает сумма, которая была откорректирована операцией учета НДФЛ",0.25,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно нужно сделать с суммой в 6-НДФЛ после корректировки операции учета НДФЛ. Например: 

- Проверить правильность отражения корректировок в 6-НДФЛ;
- Пересчитать сумму налога в 6-НДФЛ;
- Обновить данные в 6-НДФЛ и т.д.

Пожалуйста, уточните, какие конкретные действия требуются."
145,БПФР-014830,СИБИТЕК АО,Отдел автоматизации ЗУП,"Инициатор: Сафиханова Шахсанем (Алина) Сафихановна
Задача:НДФЛ не считает в б/л Атамирзаев Алишер",3.0,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно нужно проверить или исправить относительно НДФЛ в больничном листе, и указать, какие именно расчеты необходимо перепроверить."
146,БПФР-014852,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации ЗУП,"Инициатор: Харланович Наталия Владимировна
Задание: Проверьте правильность формирования и списания резервов",20.5,10,"Замечания по заданию:

1. **Точность формулировки**: Описание задачи (""Проверьте правильность формирования и списания резервов"") недостаточно конкретно. Нужно уточнить, что именно требуется проверить (например, сумму резервов, метод их формирования, правильность проводок и т.д.).

2. **Конкретизация цели**: В задании нет ясной цели или ожидаемого результата. Например, указать, что нужно выявить ошибки, составить отчет или предоставить рекомендации.

3. **Избыточное время**: Задаче назначено 20.5 часов, что кажется избыточным временем для такой задачи. Возможно, стоит пересмотреть оценку времени.

4. **Детализация**: Желательно более подробно описать, какие именно действия должны быть выполнены (например, проверить документацию, провести сверку данных в системе, подготовить отчет).

Рекомендации:
- Сформулировать задачу более четко, указав конкретные шаги и результат.
- Сократить время выполнения до более реалистичного значения, основываясь на объеме работы."
147,БПФР-014888,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,1,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должны быть выполнены и какие результаты ожидаются. Например: 

**Пояснение:**
- Какие конкретные действия нужно предпринять по работе с пользователями шахт?
- Как именно нужно взаимодействовать с этими объектами?
- Что значит ""работа с пользователями""? Это обучение, настройка программного обеспечения, решение проблем?
  
**Пример уточненного задания:**

**Контрагент:** БСТ ООО
**Подразделение:** Отдел автоматизации БУ и УУ
**Описание:** Работа с пользователями шахт ""Большевик"", ""Антоновская"", ПВВ
**Часы:** 31.25

**Задачи:**
1. **Шахта ""Большевик"":**
   - Обучение пользователей работе с новой системой отчетности;
   - Настройка системы под требования шахты;
   - Решение технических вопросов и проблем.
   
2. **Шахта ""Антоновская"":**
   - Обновление базы данных и проверка актуальности информации;
   - Консультации по использованию новых функций программы;
   - Подготовка и проведение обучения персонала.

3. **ПВВ:**
   - Диагностика и устранение неполадок в системе;
   - Проверка правильности ввода данных;
   - Анализ текущих показателей и предоставление отчетов руководству.

Это поможет сотрудникам лучше понять свои задачи и успешно их выполнить."
148,БПФР-014600,ПУРГАЗ АО,Отдел автоматизации ЗУП,"Инициатор: Ольга Николаевна
6НДФЛ 2024 года (сверка начисленных сумм НДФЛ)",1.75,8,"Замечания по заданию:

1. **Ясность и конкретика**: Описание задачи недостаточно четкое. Что именно нужно сделать с 6-НДФЛ? Например, сверить данные за год или проверить отдельные кварталы?
   
2. **Детализация сроков**: Количество часов не соответствует масштабу задачи. 1.75 часа явно недостаточно для выполнения всех необходимых действий.

Рекомендации:

1. Уточнить задачу: что именно требуется сделать с 6-НДФЛ (например, сверить общие суммы, проверить расчеты, выявить ошибки)?
   
2. Пересмотреть оценку времени: выделить достаточное время для выполнения задачи, учитывая ее сложность и важность."
149,БПФР-014827,ИНСАЙТ ТАЙМ ООО,Отдел автоматизации ПУ и ОУ,Решение проблемы с повреждённым файлом базы данных при некорректном обновлении из-за нехватки места на диске. Восстановление базы. Чистка места на диске. Обновление базы до актуального релиза 3.0.170.19. Установка патчей.,2.5,8,"Замечания по заданию:

1. **Описание задачи**: Необходимо уточнить, какие именно действия требуются для решения проблемы с поврежденным файлом базы данных. Например, конкретизировать шаги восстановления базы данных, указать необходимость создания резервной копии перед началом работ.

2. **Число часов**: 2.5 часа – это очень мало для выполнения всего перечисленного комплекса задач. Рекомендуется либо сократить объем работы, либо увеличить время на выполнение.

Пожалуйста, уточните детали и добавьте недостающую информацию."
150,БПФР-014851,СИБИТЕК АО,Отдел автоматизации ЗУП,"Инициатор: Сафиханова Шахсанем (Алина) Сафихановна
Задача:Корректировка по сотрудникам Макарова и Бессонов",1.75,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно нужно скорректировать по сотрудникам Макарова и Бессонов, и почему это важно. Например: 

**Пояснение:**
- **Что нужно сделать?** Корректировка данных по сотрудникам Макарова и Бессонов.
- **Почему это важно?** Возможные причины: ошибки в расчетах, неправильные данные в системе, необходимость обновления информации и т.д.
- **Какие сроки выполнения?** Если сроки поджимают, то это тоже стоит указать.

Таким образом, задание может выглядеть так:

---

**Контрагент:** СИБИТЕК АО  
**Подразделение:** Отдел автоматизации ЗУП  
**Инициатор:** Сафиханова Шахсанем (Алина) Сафихановна  
**Описание:** Корректировка данных по сотрудникам Макарова и Бессонов в связи с ошибкой в расчете заработной платы.  
**Количество часов:** 1.75  
**Срок выполнения:** до 14.06.2023  

---

Это поможет сотруднику понять задачу более точно и эффективно её выполнить."
151,БПФР-014831,ПУРГАЗ АО,Отдел автоматизации БУ и УУ,"Инициатор: Ольга Гульчак
В 1С по 68 счету НДФЛ в уведомлении не отражаются проводки по КБК 18210102210011000110",0.25,1,"Задача требует уточнения: необходимо более подробно описать, что именно нужно проверить или изменить в 1С в отношении проводок по КБК 18210102210011000110 по 68 счету НДФЛ. В текущем виде задание недостаточно конкретное."
152,БПФР-014832,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000143
Инициатор: Титаренко Виктория Сергеевна
Виды начислений в р/л",,1,"Задание недостаточно детализировано. Необходимо уточнить, какие именно виды начислений нужно проверить и что конкретно требуется сделать. Например:

- Проверить правильность начисления заработной платы по сотрудникам за указанный период;
- Провести расчет налогов и взносов с учетом новых данных;
- Обновить данные в системе учета и т.д."
153,БПФР-014833,Чащилов Андрей Петрович ИП,Отдел автоматизации ПУ и ОУ,"Создание резервных копий типовых информационных баз.
Обновление двух типовых конфигураций ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.27
Обновление типовой конфигурации ""1С:Зарплата и Управление Персоналом, редакция 3.0"" до последнего актуального релиза 3.1.32.17
Установка последних патчей.",2.0,9,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должны быть выполнены в рамках обновления и установки патчей, а также добавить шаги по проверке выполненной работы."
154,БПФР-014834,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикет №КЖ000000144
Инициатор: Бохинский Евгений Викторович
Добавлять файлы в заявку на покупку",2.0,5,"Замечания:
1. В описании задачи отсутствует конкретика и детализация. Необходимо уточнить, какие именно действия должны быть выполнены (например, какие файлы нужно добавить, какие требования к ним предъявляются).
2. Не указана причина добавления часов (например, сложность задачи, необходимость выполнения дополнительных действий).
3. Описание должно быть понятным и однозначным, чтобы другой сотрудник мог легко понять суть задачи без дополнительных вопросов."
155,БПФР-014835,ИНТЕК ООО,Отдел автоматизации ПУ и ОУ,"Анализ ошибки при обновлении, нехватка места на диске .Восстановление личных кабинетов ИТС. Восстановление данных сервиса 1С:Фреш. Восстановление лицензий 1С на одно рабочее место. Настройка сервиса 1С:Отчётность в двух база Установка криптопровайдера CryptoPRO.",4.0,8,"Задание содержит недостаточно информации для понимания объема работы. Необходимо уточнить, какие конкретные шаги нужно предпринять для выполнения каждого пункта задачи и какие ожидаемые результаты должны быть достигнуты. Также важно указать, почему именно столько времени требуется на выполнение задания."
156,БПФР-014836,"АНО ДПО ""ЦПП""",Отдел автоматизации ПУ и ОУ,Консультация по отражению данных в ОСВ при двойной ошибочной  оплате банковской картой по эквайринговому терминалу в 1С.,0.5,8,"Задача сформулирована недостаточно ясно. Необходимо уточнить, что именно требуется сделать: консультация по каким конкретным вопросам, какие данные нужно проанализировать и т.д."
157,БПФР-014838,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Инициатор: Вернигора Ольга Сергеевна
Печатная форма доп. соглашения изменения МРОТа по документу ""Изменение плановых начислений"" в базе ИТС.",7.0,8,"Замечания к заданию:
1. **Ясность формулировки**: Описание задачи недостаточно конкретно (""печатная форма доп. соглашения...""). Нужно уточнить, что именно требуется создать или изменить в печатной форме (например, добавить строки, поля, изменить формат).
2. **Цель выполнения**: Не указана причина или цель внесения изменений в печатную форму. Это важно для понимания контекста и возможных последствий.
3. **Неточность формулировок**: В некоторых случаях термины могут использоваться неправильно («дополнительное соглашение» может требоваться переименовать, если это не точное определение).
4. **Конкретизация результата**: Важно указать, какой результат ожидается после выполнения задачи (например, новая версия печатной формы с определенными изменениями).
5. **Количество часов**: Время на выполнение задания кажется завышенным для простой корректировки печатной формы. Стоит пересмотреть оценку трудозатрат."
158,БПФР-014839,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Необходимо запретить пользователям менять номенклатуру в 1С:ERP АПК,1.5,8,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должен предпринять сотрудник для выполнения поставленной задачи. Например:

**Задание сотруднику:**

Запретить пользователям возможность изменять номенклатуру в 1С:ERP АПК.

- **Время выполнения:** 1.5 часа  
- **Действия:**  
  1. Открыть раздел настроек системы.
  2. Найти пункт, отвечающий за управление номенклатурой.
  3. Включить опцию «Только чтение» для всех пользователей.
  4. Сохранить изменения.
  5. Проверить, что пользователи не могут изменить номенклатуру."
159,БПФР-014840,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Необходимо реализовать обмен между конфигурациями МЕС и ERP АПК через http по аналогии с обменом МЕС - БП СХ,31.25,8,"Задание содержит недостаточно информации для понимания его сути. Необходимо уточнить следующие моменты:

1. Что именно нужно реализовать (конкретные шаги или функциональность)?
2. Какие данные будут передаваться в обмене?
3. Какая структура данных используется в обеих системах (МЕС и ERP АПК)?
4. Какой формат обмена будет использоваться (XML, JSON и т.д.)?
5. Нужно ли разрабатывать что-то новое или адаптировать существующие механизмы интеграции?

Пожалуйста, добавь эти детали, чтобы мы могли точнее оценить объем работы и время выполнения."
160,БПФР-014841,ЗЕРНОВОЕ ООО,Отдел автоматизации ПУ и ОУ,"Обновление типовой конфигурации ""1С:Бухгалтерия сельскохозяйственного предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Обновление типовой конфигурации ""Зарплата и Управление Персоналом, редакция 3.1"" до последнего актуального релиза 3.1.32.17",1.0,10,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные действия должны быть выполнены при обновлении конфигураций, например: проверка базы данных перед обновлением, непосредственно процесс обновления, тестирование после обновления и т.д. Также следует указать, требуется ли изменение настроек программы или нужно просто установить последний релиз."
161,БПФР-014842,ТСМ АО,Отдел автоматизации ПУ и ОУ,Решение проблемы при авторизации пользователя в информационную базу. Удаление патча EF_70097534,0.25,8,"Задание недостаточно детализировано. Необходимо уточнить следующие аспекты:

1. **Какую именно проблему нужно решить?** (опишите детальнее суть ошибки или вопроса с авторизацией).
2. **Почему удаляют этот патч?** Есть ли связь с проблемой авторизации?
3. **Нужно ли проводить какие-то дополнительные проверки после удаления патча?** Например, тестирование системы.
4. **Если есть ссылки на документацию или инструкции, укажите их.**

В текущем виде задание требует уточнения перед выполнением."
162,БПФР-014843,ЖУЙЛИ НЕФТЯНЫЕ ТЕХНОЛОГИИ ООО,Отдел автоматизации ПУ и ОУ,Демонстрация сервиса 1С:РПД.,0.25,1,"Задание требует уточнения. Недостаточно информации о том, что именно нужно сделать. Например, необходимо указать, какой именно сервис 1С:РПД нужно продемонстрировать и для каких целей."
163,БПФР-014844,ГАЗАВТОМАТИКА ООО,Отдел автоматизации ПУ и ОУ,Демонстрация сервиса 1С:РПД,0.25,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно требуется сделать в рамках демонстрации сервиса 1С:РПД. Например:

- Какие конкретно функции или модули нужно продемонстрировать?
- Есть ли требования к результату или сценарию использования?
- Нужно ли подготовить отчет или провести определенные операции в системе?"
164,БПФР-014845,Агротехнический центр АО,Отдел автоматизации ПУ и ОУ,Подключение сервиса 1С:Распознавание первичных документов (1С:РПД),0.5,1,"Задание недостаточно конкретное. Необходимо уточнить цель подключения сервиса, какие именно действия нужно выполнить и какой результат ожидается. Например:

**Описание задачи:** Подключить сервис 1С:Распознавание первичных документов (1С:РПД) к системе Агротехнического центра АО в отделе автоматизации ПУ и ОУ.

- **Цель:** Автоматизация процесса распознавания первичной документации для ускорения обработки данных.
- **Что нужно сделать:** Настроить интеграцию с сервисом 1С:РПД, обучить систему на образцах документов, проверить качество распознавания.
- **Результат:** Все первичные документы автоматически распознаются и загружаются в систему Агротехнического центра АО.

Такое уточнение поможет сотруднику понять задачу и выполнить её более эффективно."
165,БПФР-014847,ЖУЙЛИ НЕФТЯНЫЕ ТЕХНОЛОГИИ ООО,Отдел автоматизации ПУ и ОУ,Обновление типовой конфигурации 1С:Бухгалтерия предприятия до актуального релиза 3.0.170.27.,1.0,10,"Задание недостаточно конкретно. Необходимо уточнить, какие именно действия должны быть выполнены при обновлении типовой конфигурации 1С:Бухгалтерия предприятия до актуального релиза. Например, нужно ли провести тестирование обновления, проверить на наличие ошибок и т.д.?"
166,БПФР-014848,ПАЛЛАДА ООО,Отдел автоматизации ПУ и ОУ,"Сопроводительные работы настройке и работе с ИС МП ""Честный знак""",1.5,1,"Задание недостаточно детализировано. Необходимо указать, какие именно сопроводительные работы должны быть выполнены (например, настройка интеграции, тестирование функционала, обучение сотрудников и т.д.), а также уточнить, к какой конкретно системе относится задача (например, ""ИС МП ""Честный знак"""")."
167,БПФР-014849,СИБМАШ-ЛИДЕР ООО АФ,Отдел автоматизации ПУ и ОУ,Установка платформы версии 8.3.26.1540. Создание базы с  конфигурацией 1С:Бухгалтерия предприятия версии 3.0.170.19. Загрузка информационной базы из облачного сервиса 1С:Фреш в файловый клиент.,3.0,10,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные шаги должны быть выполнены для установки платформы и загрузки информационной базы. Например:  

1. Скачать дистрибутив платформы 1С:Предприятие 8.3.26.1540.
2. Установить платформу на сервер или рабочую станцию.
3. Скачать файл конфигурации 1С:Бухгалтерия предприятия 3.0.170.19.
4. Скопировать файл конфигурации в папку с установленной платформой.
5. Запустить программу 1С:Предприятие и создать новую информационную базу.
6. Выбрать тип информационной базы – файловая база данных.
7. Настроить параметры подключения к базе данных.
8. Произвести загрузку информационной базы из облачного сервиса 1С:Фреш.

Этот план поможет более точно определить объем работы и правильно распределить время."
168,БПФР-014850,Ярош Вадим Николаевич ИП,Отдел автоматизации ПУ и ОУ,Анализ ошибки после запуска информационной базы. Чистка диска памяти (удаление файла информационной базы ChangesTable занимавший 400гб памяти).,0.25,1,"Задание сформулировано нечетко. Необходимо уточнить:  
- Что именно нужно проанализировать?  
- Какие конкретные шаги должны быть выполнены для устранения ошибки?  
- Как именно удалить файл информационной базы? (Путь к файлу?)  
Количество часов кажется недостаточным для выполнения предложенной задачи."
169,БПФР-014865,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Титоренко Виктория Сергеевна

Задача: в начисление заработной платы попадают перерасчеты всех сотрудников за январь",3.5,1,Задание требует уточнения: необходимо более подробно описать контекст задачи и ожидаемый результат. В текущем виде формулировка недостаточно ясна.
170,БПФР-014547,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Калачева Галина Юрьевна
Суточные сверх норм по Шамамедову и Тимирзякову ",1.25,1,"Замечания:
1. Описание задачи должно быть более конкретным и детализированным. Например, уточните, что именно нужно проверить или какие действия необходимо выполнить.
2. В поле ""Количество часов на выполнение"" укажите точное время, необходимое для выполнения задачи. Недостаточно указать только число.
3. Проверьте правильность написания названия контрагента и подразделения.
4. Уточните, кто такой Шамамедов и Тимирзяков, если это важно для выполнения задачи.

Пример переработки задания:
**Контрагент:** КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО  
**Подразделение:** Отдел автоматизации ЗУП  
**Описание:** Проверить суточные расходы по командировке Шамамедова и Тимирзякова за последние полгода. Подтвердить соответствие нормативам и законодательству.  
**Время:** 3 часа"
171,БПФР-014884,ДИО-КОНСАЛТ ООО,Отдел разработки,Создание печатной формы УПД + Реестр принятых в работу и выполненных заявок ,10.0,5,"Задание сформулировано некорректно. Необходимо уточнить, что именно требуется создать (печатную форму УПД и реестр заявок), а также добавить детали по структуре и содержанию этих документов. Например:  
**Описание:**  
Разработать печатную форму универсального передаточного документа (УПД) с учетом требований контрагента ДИО-КОНСАЛТ ООО. Включить возможность автоматического формирования реестра принятых в работу и выполненных заявок.  
**Дополнительно:**  
1. **Реестр принятых в работу и выполненных заявок:**  
   - Структура реестра (например, номер заявки, дата создания, статус выполнения, ответственный исполнитель).  
   - Формат экспорта данных (Excel, PDF и т.д.).  
2. **Печатная форма УПД:**  
   - Требования к оформлению (шапка документа, табличная часть, подписи и печати).  
   - Обязательные поля и реквизиты.  
3. **Технические требования:**  
   - Совместимость с используемыми системами (например, 1С).  
4. **Срок выполнения:**  
   - Ориентировочный срок выполнения всего проекта.  
5. **Контактное лицо:**  
   - ФИО и контактные данные ответственного лица со стороны заказчика."
172,БПФР-014853,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,"Настройка подключение к RDP (удалённый рабочий стол). Добавление информационных баз (ДО, УФФ) в список информационных баз 1С для четверых пользователей на четырёх ноутбуках.",1.0,8,"Задание требует уточнения: какие именно действия нужно выполнить для настройки подключения и добавления информационных баз? Также стоит указать, требуется ли настройка для конкретной версии программного обеспечения или есть дополнительные требования."
